Image,mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
AAU1,21.89468310092147,1.5486175438783722,-0.37038627933481394,39.784406955132766,3.611441537104653,1.7604954993485598,1.285573237132058,2.521894261621867,-1.8274494667438195,abnormal
AAV1,20.862654259417315,1.7105987217350667,-0.6092418087297999,38.759464177524976,4.040245141523301,2.5318631013835753,1.3510206109323977,2.7418262761911945,-1.7186661980362554,abnormal
AAW1,11.040655004001426,1.5721665648395602,-0.9766360689489388,28.923417088554906,4.509416195371869,2.8491372369627794,2.2743426110168805,3.075247611258516,-3.087204261085314,normal
AAX1,18.998971661591643,2.425256460052352,1.3242793188082023,36.41395225326959,4.832469460608046,2.8022218520099984,1.425493669577729,1.8383203585146402,1.9694178270767193,normal
AAY1,31.551568699885816,10.187960731499127,-5.717996820499646,41.0294517725646,13.519482060545116,7.788690919994491,0.5518184932412638,0.7323402051085897,-0.7823698006052591,normal
AAZ1,7.910877939781333,1.4281322551486764,0.26548222477927746,24.830788468683885,4.642867497480199,1.2643898139050238,2.8922937042164203,3.4937859144036305,4.021885716793034,abnormal
ABA1,19.25790433098991,3.167559899412375,-2.07521996122977,36.06734907647628,6.938009663359393,4.654054327396125,1.3709105230148275,2.2436537269834074,-2.3010919779078565,abnormal
ABB1,25.570521679325804,2.609757843553697,1.8571640612336697,40.76819973077306,4.823635478418498,3.2770533070783903,0.987609173938173,1.6920225562239815,1.6977578100758992,abnormal
ABC1,29.776412962731964,6.100288888418595,-4.029572004881569,42.40698460182367,9.085492003280395,6.0218875382890475,0.7344504897896753,1.0543877719296586,-1.0422532801740552,abnormal
ABD1,10.445765882960375,3.2649725923375077,1.0220072488540408,26.624860884555858,8.165160986388859,3.2823955216410927,2.232421059564631,2.5155276761709904,3.3612173712432103,normal
ABE1,13.173805382215466,1.5677711863047203,0.5065631731994858,31.505866208518796,4.023133704160514,1.4160527982076732,2.035104957555814,2.7778540752000014,3.5231131978627825,normal
ABF1,18.02673105864364,0.20662525449797686,0.0009708901194311356,36.11381503040516,2.0927596477182338,1.2817342543877523,1.5325074152577804,0.6716812009191235,0.9628874628150428,abnormal
ABH1,6.741904885710279,0.7416035331180215,0.24993907414407185,23.6392006894528,2.8244951316008287,1.4998554070700552,3.282950723278513,4.347546434840633,5.924366859582574,abnormal
ABI1,25.561258842127543,2.8972934635379746,0.9342918012558665,40.55576144440084,4.92579924661461,2.1683821538430084,0.9866121673009248,1.6039670377821516,2.2994048432834298,abnormal
ABJ1,19.339619397511683,1.715526308693899,-0.6420214187025683,36.13962603683111,3.7601532745314117,1.8470990036474644,1.3650846167506028,2.352582954665128,-2.904818473609235,abnormal
ABK1,16.12811283087666,3.129624835033176,1.4245164180979935,33.24905703272,6.537075042798728,3.1249867143788808,1.619581613908703,1.9392775473344561,2.239726326687599,abnormal
ABL1,19.647368936660552,3.575051714463146,0.23293931601084927,35.00699635935721,6.377986970307054,1.432957025115773,1.252529375158641,1.4901979391226063,2.2134432609675883,abnormal
ABM1,24.420616967036334,0.9484352098583952,0.04854341463786341,41.474805254802725,2.099584011427549,1.2048341685785628,1.1427465317742733,2.7871493091983255,0.09224548105381301,abnormal
ABN1,24.720525976033578,4.534447603396674,1.9434147378229336,37.75958146473217,6.554421445274007,3.3356899653305616,0.9106372012607707,1.1468340666056862,1.8426873685649447,abnormal
ABO1,27.658210106757565,2.1583087571772697,-0.7142651996351399,42.32658496014596,3.594579325351193,1.548820185407531,0.8949839702593694,1.4831675237126811,-1.6892473291724437,abnormal
ABP1,12.298647172532142,2.0318399943659142,-0.905340367356193,30.592287532615664,5.478995192923084,2.720280499338466,2.1399800029971767,3.091002508286291,-3.3504195613209387,abnormal
ABQ1,15.30705240306441,2.250807193319517,-0.007513231719319115,33.56439667700743,5.4152371026170965,1.8214885107599186,1.770906624366255,2.431916958357833,-2.6959413223452184,abnormal
ABR1,16.47593020873166,2.1415011344543817,1.7476743944036672,34.33200251606161,4.887264198539707,3.992500671403375,1.6333853954814017,2.2698461096012763,2.285330845227584,abnormal
ABS1,17.768728470574686,4.196301943236055,-0.430750537405195,34.559535343287024,8.312795686999216,2.141869575566634,1.4591684064989778,1.6904847461681802,0.5287716762970978,abnormal
ABT1,8.03393445534131,1.4453966374286102,-0.7937757185555087,25.403072135767058,4.831887032984349,2.722393888177254,2.9003052839728873,3.786996745826357,-3.900738780170379,normal
ABU1,14.129302359157851,1.220137515267619,0.9144724208234364,32.82378449448729,3.2282656836016295,2.4258631784535742,1.9327950035011494,2.942654817108655,3.009846452176909,abnormal
ABV1,11.199143940143063,2.5398585764715245,-0.5133157144249411,28.089601025758537,6.243302476882381,1.8507104345397778,2.1697516826566443,2.6641600799608143,-4.002091175496505,abnormal
ABW1,19.62299789914125,1.5856339053727968,0.9218975904040195,37.476182276287304,3.6733941655007767,2.3570604333924603,1.4154026694179815,2.5281944643794256,2.8651213207753243,abnormal
ABX1,14.255593070823064,3.310743583924129,0.43982606816094655,31.58844121477269,7.431267701995069,1.665926969898238,1.8055905044919538,2.121826654752305,2.5583151160417748,abnormal
ABY1,27.87068287004141,4.563073220196609,1.1216369208877746,40.77591440716702,7.392156261956699,1.9829191243853495,0.8079400785572244,1.2133290723044423,1.8351142635529138,abnormal
ABZ1,9.227200228682925,1.594414466091135,0.4321284247734279,26.513041503352937,4.713731450928378,1.6113288865465056,2.6113894733190572,3.375571064532909,4.021827498737717,abnormal
ACA1,4.686430785401711,0.21759858554821124,0.1234392337106357,20.288534627361177,1.2296478647425217,0.7464039281883371,4.181061325901041,7.447572325181763,6.806159754946641,abnormal
ACB1,4.526943262697228,0.23766064930309255,0.11436585564139275,19.979900393782295,1.344828724109817,0.709632594886093,4.276225437800253,8.02344807337311,4.637237699638209,normal
ACC1,13.220919469358108,2.3277014451888576,0.8403423345493435,30.908295426929655,5.639558278624316,2.3297952577645735,1.9462997276700957,2.3346173973777793,2.882344882957609,abnormal
ACD1,13.093304534791805,1.3381069066446283,0.011805192548488745,32.042459506767706,3.46800367287421,1.2120601781089961,2.07258124047941,2.777922118171577,-2.512653105524938,normal
ACE1,11.737276895868401,2.548437764837509,1.4742936921438996,27.99330683874242,6.398611341501242,3.8974946640565333,2.024795585999816,2.556054887919139,2.6276395479097494,abnormal
ACF1,26.070417915856023,2.8121054393858835,-1.701228451653263,41.835566965972795,5.959108273052538,4.09624880285903,1.003010208296471,2.151659288059296,-2.232174735453208,abnormal
ACG1,21.010288438382574,5.042963840689955,-2.310118636238788,36.998609685335595,9.08309344833153,4.253651804920399,1.225176022393535,1.5739154372102544,-1.628701917329421,normal
ACH1,2.933854144991489,0.31289687408417377,-0.025926909812186025,15.627882233250952,1.34528584823002,0.4028185020193375,5.365495884413434,5.581581695945902,-1.7299846355311654,normal
ACI1,12.860270718770856,3.6287897905877795,0.6528680948043355,29.596104340161716,8.418135514195328,1.8922403725032324,1.9205872333612488,2.2106042483036306,3.08238329221717,normal
ACJ1,7.590390546792399,0.597042098715874,0.21426714650801515,25.127601903522542,2.2429789958851005,0.8303066639853077,3.0853731842247183,4.731912080571724,5.09932610104077,normal
ACK1,4.9077003288857135,0.28565973084291296,0.23028584262711063,20.555972032231935,1.544332446320129,1.2084031974968157,4.046928805740091,7.323019370899003,6.691003258007556,normal
ACL1,21.235193113941715,2.021539475247352,0.9546582458383143,38.59724274464094,4.1969038851870355,2.0513790375236542,1.2912978264902533,2.1074506944587275,2.345209794178406,abnormal
ACM1,13.09675918171111,1.8146662212554743,-1.1633445697614637,30.237143530067463,4.30036383230253,2.8457667079022113,1.9164469150990382,2.4652856971533827,-2.55611193565533,abnormal
ACN1,8.512127510395368,2.0206063137722237,-0.43381390297242545,25.150470037022835,6.110119805728883,1.8162294139832298,2.705030712197337,3.414850578094175,-4.192262404742394,normal
ACO1,15.926418131790786,3.136668584829897,1.0055315745440905,33.04770487952261,6.57167480571115,2.2999030017913022,1.6281119875199588,1.9459079412173417,2.355754332377753,abnormal
ACP1,20.19342483571295,5.48930924438649,-0.48549186492611474,34.26171561688493,8.298489263572078,1.628968631929144,1.1652655031628072,1.320341710257587,-1.3560288461344927,abnormal
